Table with row headings in column A and column headings in rows 5-8.,,,,,,,,,,,
Table 16. Homeownership Rates by Race and Ethnicity of,,,,,,,,,,,
                Householder: 1994 to Present,,,,,,,,,,,
,,,,,,,,,,,
Year and         quarter,U.S.,Non-Hispanic White Alone,Black Alone,All Other Races\1,Hispanic (of any race),,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1994,,,,,,,,,,,
1st.......,63.8,69.8,42.1,50.1,40.3,,,,,,
2nd.......,63.8,69.9,41.8,46.3,41.1,,,,,,
3rd.......,64.1,70.0,42.7,46.9,41.1,,,,,,
4th.......,64.2,70.2,42.6,47.6,42.2,,,,,,
,,,,,,,,,,,
1995,,,,,,,,,,,
1st......,64.2,70.0,42.7,46.9,41.4,,,,,,
2nd......,64.7,70.2,42.6,47.6,42.2,,,,,,
3rd......,65.0,70.4,41.2,47.2,41.8,,,,,,
4th......,65.1,70.9,42.2,46.7,42.8,,,,,,
,,,,,,,,,,,
1996,,,,,,,,,,,
1st......,65.1,71.4,43.8,50.9,41.4,,,,,,
2nd......,65.4,71.7,43.7,50.0,43.9,,,,,,
3rd......,65.6,71.8,44.5,51.5,43.5,,,,,,
4th......,65.4,71.8,44.4,51.4,42.3,,,,,,
,,,,,,,,,,,
1997,,,,,,,,,,,
1st......,65.4,71.6,44.5,51.8,42.6,,,,,,
2nd......,65.7,72.1,44.4,52.7,43.3,,,,,,
3rd......,66.0,72.3,45.3,53.1,43.0,,,,,,
4th......,65.7,71.9,45.1,52.5,44.0,,,,,,
,,,,,,,,,,,
1998,,,,,,,,,,,
1st......,65.9,72.1,45.2,52.3,44.4,,,,,,
2nd......,66.0,72.5,44.7,53.5,43.9,,,,,,
3rd......,66.8,73.1,46.6,53.6,44.9,,,,,,
4th......,66.4,72.6,45.9,52.7,45.7,,,,,,
,,,,,,,,,,,
1999,,,,,,,,,,,
1st......,66.7,72.8,46.3,52.8,46.2,,,,,,
2nd......,66.6,73.2,45.3,53.2,44.9,,,,,,
3rd......,67.0,73.5,46.6,54.5,45.5,,,,,,
4th......,66.9,73.3,46.8,54.3,45.5,,,,,,
,,,,,,,,,,,
2000,,,,,,,,,,,
1st......,67.1,73.4,47.4,53.6,45.7,,,,,,
2nd......,67.2,73.7,46.7,54.4,45.4,,,,,,
3rd......,67.7,74.3,46.8,53.9,46.7,,,,,,
4th......,67.5,73.9,47.8,52.4,47.5,,,,,,
,,,,,,,,,,,
2001,,,,,,,,,,,
1st......,67.5,74.0,47.5,53.9,46.1,,,,,,
2nd......,67.7,74.1,47.9,55.2,46.1,,,,,,
3rd......,68.1,74.6,47.5,54.4,48.1,,,,,,
4th......,68.0,74.4,48.1,53.2,48.8,,,,,,
,,,,,,,,,,,
2002\r,,,,,,,,,,,
1st......,67.8,74.6,48.2,53.5,46.4,,,,,,
2nd......,67.6,74.5,46.5,55.3,46.1,,,,,,
3rd......,68.0,74.9,47.3,54.0,47.1,,,,,,
4th......,68.3,75.0,47.7,55.2,48.3,,,,,,
,,,,,,,,,,,
2003,,,,,,,,,,,
1st......,68.0,75.0,47.7,55.7,46.7,,,,,,
2nd......,68.0,75.2,47.3,55.3,46.2,,,,,,
