Table 7. Housing tenure, type of area, race of reference person, and Hispanic origin of reference person: Average annual expenditures and characteristics, Consumer Expenditure Survey, 1996
___________________________________________________________________________________________________________________________________________________________________________________________________
                                                            |              |                             |                             |                             |                             
                                                            |              |        Housing tenure       |         Type of area        |   Race of reference person  | Hispanic origin of reference
                                                            |              |                             |                             |                             |            person           
                            Item                            | All consumer |_____________________________|_____________________________|_____________________________|_____________________________
                                                            |     units    |              |              |              |              |              |              |              |              
                                                            |              |   Homeowner  |    Renter    |     Urban    |     Rural    |   White and  |     Black    |   Hispanic   | Non-Hispanic 
                                                            |              |              |              |              |              |     other    |              |              |              
____________________________________________________________|______________|______________|______________|______________|______________|______________|______________|______________|______________
                                                            |              |              |              |              |              |              |              |              |              
Number of consumer units (in thousands).....................|       104,212|        66,272|        37,940|        91,061|        13,151|        91,856|        12,355|         8,717|        95,494
Income before taxes 1/......................................|       $38,014|       $45,654|       $24,708|       $39,358|       $29,032|       $39,419|       $27,190|       $29,166|       $38,874
Income after taxes 1/.......................................|        34,864|        41,723|        22,918|        36,036|        27,033|        36,052|        25,712|        27,449|        35,585
Age of reference person.....................................|          47.7|          52.2|          39.8|          47.3|          50.6|          48.1|          44.7|          42.7|          48.2
Average number in consumer unit:                            |              |              |              |              |              |              |              |              |              
 Persons....................................................|           2.5|           2.7|           2.3|           2.5|           2.6|           2.5|           2.9|           3.4|           2.5
 Children under 18..........................................|           0.7|           0.7|           0.7|           0.7|           0.7|           0.6|           1.1|           1.3|           0.6
 Persons 65 and over........................................|           0.3|           0.4|           0.2|           0.3|           0.4|           0.3|           0.2|           0.2|           0.3
 Earners....................................................|           1.3|           1.5|           1.2|           1.3|           1.4|           1.4|           1.2|           1.5|           1.3
 Vehicles...................................................|           1.9|           2.3|           1.2|           1.8|           2.5|           2.0|           1.2|           1.6|           1.9
Percent distribution:                                       |              |              |              |              |              |              |              |              |              
 Male.......................................................|            60|            66|            51|            60|            62|            63|            41|            62|            60
 Female.....................................................|            40|            34|            49|            40|            38|            37|            59|            38|            40
 Percent homeowner..........................................|            64|           100|             0|            61|            84|            66|            42|            46|            65
  With mortgage.............................................|            38|            59|             0|            37|            40|            39|            27|            30|            38
  Without mortgage..........................................|            26|            41|             0|            23|            44|            27|            15|            16|            27
 Renter.....................................................|            36|             0|           100|            39|            17|            34|            58|            54|            35
 Black......................................................|            12|             8|            19|            13|             5|             0|           100|             6|            12
 White and other............................................|            88|            92|            81|            87|            95|           100|             0|            94|            88
 Elementary (1-8)...........................................|             8|             8|             9|             8|            11|             8|            10|            25|             6
 High school (9-12).........................................|            41|            41|            42|            40|            50|            40|            52|            45|            41
 College....................................................|            50|            51|            49|            52|            39|            52|            38|            29|            52
 Never attended and other...................................|             0|             0|             0|             0|             0|             0|             0|             1|             0
 At least one vehicle owned.................................|            85|            93|            70|            84|            93|            87|            66|            78|            85
Average annual expenditures.................................|       $33,797|       $39,299|       $24,170|       $34,502|       $28,853|       $34,994|       $24,926|       $27,868|       $34,338
 Food.......................................................|         4,698|         5,272|         3,687|         4,770|         4,178|         4,844|         3,630|         4,862|         4,685
  Food at home..............................................|         2,876|         3,200|         2,304|         2,897|         2,723|         2,918|         2,568|         3,375|         2,834
   Cereals and bakery products..............................|           447|           502|           351|           451|           420|           457|           377|           483|           444
    Cereals and cereal products.............................|           166|           179|           143|           167|           157|           167|           157|           209|           162
    Bakery products.........................................|           281|           323|           208|           284|           262|           290|           220|           274|           282
   Meats, poultry, fish, and eggs...........................|           737|           799|           628|           744|           687|           718|           873|           976|           717
    Beef....................................................|           215|           232|           185|           217|           200|           213|           231|           317|           206
    Pork....................................................|           157|           172|           131|           154|           181|           149|           213|           200|           153
    Other meats.............................................|            99|           110|            79|           100|            91|            99|            95|           109|            98
    Poultry.................................................|           144|           156|           123|           147|           126|           139|           184|           192|           140
    Fish and seafood........................................|            88|            93|            78|            93|            55|            85|           112|            93|            88
    Eggs....................................................|            34|            35|            31|            34|            35|            34|            37|            64|            31
   Dairy products...........................................|           312|           352|           242|           315|           292|           326|           212|           363|           308
    Fresh milk and cream....................................|           132|           148|           105|           131|           142|           138|            94|           178|           128
    Other dairy products....................................|           180|           204|           137|           184|           149|           188|           118|           185|           179
