
Table 7.  Housing tenure, type of area, race of reference person, and Hispanic origin of reference person: Average annual
expenditures and characteristics, Consumer Expenditure Survey, 1997
_____________________________________________________________________________________________________________________________
                                   |         |                   |                   |                   |                   
                                   |         |   Housing tenure  |    Type of area   | Race of reference | Hispanic origin of
                                   |   All   |                   |                   |       person      |  reference person 
               Item                | consumer|___________________|___________________|___________________|___________________
                                   |  units  |         |         |         |         |         |         |         |         
                                   |         |Homeowner|  Renter |  Urban  |  Rural  |White and|  Black  | Hispanic|Non-Hisp-
                                   |         |         |         |         |         |  other  |         |         |   anic  
___________________________________|_________|_________|_________|_________|_________|_________|_________|_________|_________
                                   |         |         |         |         |         |         |         |         |         
Number of consumer units (in       |         |         |         |         |         |         |         |         |         
   thousands)......................| 105,576 |  67,249 |  38,327 |  92,216 |  13,360 |  93,004 |  12,572 |   8,905 |  96,670 
Income before taxes(1).............| $39,926 | $47,898 | $26,031 | $41,072 | $32,299 | $41,382 | $28,678 | $29,976 | $40,907 
Income after taxes(1)..............|  36,684 |  43,863 |  24,173 |  37,700 |  29,926 |  37,921 |  27,130 |  28,048 |  37,536 
Age of reference person............|    47.7 |    52.2 |    39.9 |    47.4 |    50.2 |    48.1 |    45.0 |    42.0 |    48.3 
Average number in consumer unit:   |         |         |         |         |         |         |         |         |         
 Persons...........................|     2.5 |     2.7 |     2.2 |     2.5 |     2.6 |     2.5 |     2.8 |     3.4 |     2.4 
 Children under 18.................|      .7 |      .7 |      .7 |      .7 |      .6 |      .7 |     1.0 |     1.3 |      .6 
 Persons 65 and over...............|      .3 |      .4 |      .1 |      .3 |      .3 |      .3 |      .2 |      .2 |      .3 
 Earners...........................|     1.3 |     1.4 |     1.2 |     1.3 |     1.4 |     1.4 |     1.2 |     1.6 |     1.3 
 Vehicles..........................|     2.0 |     2.4 |     1.2 |     1.9 |     2.5 |     2.1 |     1.2 |     1.7 |     2.0 
Percent distribution:              |         |         |         |         |         |         |         |         |         
 Male..............................|      59 |      64 |      49 |      59 |      61 |      61 |      40 |      61 |      59 
 Female............................|      41 |      36 |      51 |      41 |      39 |      39 |      60 |      39 |      41 
 Percent homeowner.................|      64 |     100 |    n.a. |      61 |      79 |      66 |      44 |      47 |      65 
  With mortgage....................|      38 |      60 |    n.a. |      38 |      38 |      39 |      30 |      31 |      39 
  Without mortgage.................|      26 |      40 |    n.a. |      23 |      42 |      27 |      14 |      16 |      27 
 Renter............................|      36 |    n.a. |     100 |      39 |      21 |      34 |      56 |      53 |      35 
 Black.............................|      12 |       8 |      18 |      13 |       5 |    n.a. |     100 |       4 |      13 
